pH,TDS,Turbidity,Temperature,Skin_Risk,Is_Potable
6.28,1138,1.43,21.6,Safe (No Skin Risk),0
4.76,599,1.06,40.2,Acidic Irritant Contact Dermatitis,0
4.93,711,5.98,17.8,Acidic Irritant Contact Dermatitis,0
8.95,1181,18.66,22.2,Eczema / Skin Barrier Damage,0
8.02,718,10.51,29.0,Severe Xerosis (Dry Skin Risk),0
4.66,479,5.51,30.3,Acidic Irritant Contact Dermatitis,0
4.55,972,8.04,15.4,Acidic Irritant Contact Dermatitis,0
8.56,46,12.01,36.1,Eczema / Skin Barrier Damage,0
4.47,460,13.09,24.8,Acidic Irritant Contact Dermatitis,0
9.34,872,3.16,26.0,Eczema / Skin Barrier Damage,0
8.59,598,19.54,36.9,Eczema / Skin Barrier Damage,0
4.53,953,10.94,25.2,Acidic Irritant Contact Dermatitis,0
4.55,1046,2.8,16.3,Acidic Irritant Contact Dermatitis,0
10.41,165,17.88,19.8,Eczema / Skin Barrier Damage,0
6.43,434,1.59,40.8,Safe (No Skin Risk),0
6.41,856,18.16,16.9,Bacterial / Fungal Infection Risk,0
9.28,920,19.93,24.6,Eczema / Skin Barrier Damage,0
10.16,615,14.04,28.6,Eczema / Skin Barrier Damage,0
10.41,364,15.43,28.3,Eczema / Skin Barrier Damage,0
8.9,969,6.81,15.1,Eczema / Skin Barrier Damage,0
6.45,872,18.84,28.5,Bacterial / Fungal Infection Risk,0
4.54,1094,10.64,25.4,Acidic Irritant Contact Dermatitis,0
9.05,876,14.67,41.2,Eczema / Skin Barrier Damage,0
7.63,965,18.49,19.3,Bacterial / Fungal Infection Risk,0
6.76,482,19.51,24.6,Bacterial / Fungal Infection Risk,0
9.89,114,16.68,26.3,Eczema / Skin Barrier Damage,0
4.72,596,6.13,25.5,Acidic Irritant Contact Dermatitis,0
7.2,402,19.33,33.0,Pseudomonas Folliculitis (Hot Tub Rash),0
4.07,487,12.6,20.8,Acidic Irritant Contact Dermatitis,0
7.05,301,18.62,21.0,Bacterial / Fungal Infection Risk,0
4.37,164,13.55,34.7,Acidic Irritant Contact Dermatitis,0
4.77,950,6.21,28.5,Acidic Irritant Contact Dermatitis,0
4.76,284,7.46,26.2,Acidic Irritant Contact Dermatitis,0
8.22,581,11.05,19.6,Bacterial / Fungal Infection Risk,0
8.85,524,15.82,20.1,Eczema / Skin Barrier Damage,0
7.79,161,6.43,15.3,Safe (No Skin Risk),0
10.25,164,11.64,17.5,Eczema / Skin Barrier Damage,0
6.44,209,6.98,30.0,Safe (No Skin Risk),0
5.86,163,16.33,39.1,Pseudomonas Folliculitis (Hot Tub Rash),0
9.65,1098,9.39,22.8,Eczema / Skin Barrier Damage,0
5.45,1150,1.63,23.8,Acidic Irritant Contact Dermatitis,0
10.26,685,3.4,18.1,Eczema / Skin Barrier Damage,0
4.08,825,1.32,25.5,Acidic Irritant Contact Dermatitis,0
10.3,240,10.04,16.0,Eczema / Skin Barrier Damage,0
4.28,408,2.22,39.8,Acidic Irritant Contact Dermatitis,0
9.79,836,2.37,33.2,Eczema / Skin Barrier Damage,0
7.43,116,18.83,41.8,Pseudomonas Folliculitis (Hot Tub Rash),0
10.45,98,17.47,38.8,Eczema / Skin Barrier Damage,0
4.48,470,9.1,27.8,Acidic Irritant Contact Dermatitis,0
7.6,677,19.72,29.0,Bacterial / Fungal Infection Risk,0
10.3,148,0.1,20.1,Eczema / Skin Barrier Damage,0
7.4,1047,12.32,27.5,Bacterial / Fungal Infection Risk,0
8.09,107,12.37,39.4,Pseudomonas Folliculitis (Hot Tub Rash),0
8.52,1132,9.2,16.4,Eczema / Skin Barrier Damage,0
6.95,344,8.0,38.3,Safe (No Skin Risk),0
8.08,713,9.16,24.2,Severe Xerosis (Dry Skin Risk),0
7.8,404,8.36,39.3,Safe (No Skin Risk),0
9.86,860,14.64,40.4,Eczema / Skin Barrier Damage,0
4.3,382,2.79,33.1,Acidic Irritant Contact Dermatitis,0
5.83,986,4.03,32.9,Safe (No Skin Risk),0
10.18,938,3.69,27.2,Eczema / Skin Barrier Damage,0
9.79,1172,5.32,37.6,Eczema / Skin Barrier Damage,0
6.96,801,10.55,41.0,Pseudomonas Folliculitis (Hot Tub Rash),0
8.03,380,2.31,35.9,Safe (No Skin Risk),1
5.8,981,17.38,31.8,Bacterial / Fungal Infection Risk,0
5.22,422,6.02,31.4,Acidic Irritant Contact Dermatitis,0
7.01,1043,3.33,37.9,Safe (No Skin Risk),0
6.3,339,13.54,29.6,Bacterial / Fungal Infection Risk,0
7.79,178,0.86,36.7,Safe (No Skin Risk),1
4.51,398,12.44,28.7,Acidic Irritant Contact Dermatitis,0
10.33,875,13.99,16.7,Eczema / Skin Barrier Damage,0
10.41,522,4.38,25.4,Eczema / Skin Barrier Damage,0
8.54,948,0.94,27.0,Eczema / Skin Barrier Damage,0
7.48,1174,7.34,18.8,Safe (No Skin Risk),0
6.01,905,2.06,17.8,Safe (No Skin Risk),0
9.29,178,2.42,29.5,Eczema / Skin Barrier Damage,0
8.45,1035,5.16,17.3,Severe Xerosis (Dry Skin Risk),0
5.06,474,5.98,23.2,Acidic Irritant Contact Dermatitis,0
9.92,548,10.65,35.1,Eczema / Skin Barrier Damage,0
9.35,312,13.6,41.0,Eczema / Skin Barrier Damage,0
10.17,1162,11.9,34.4,Eczema / Skin Barrier Damage,0
8.72,143,3.05,41.8,Eczema / Skin Barrier Damage,0
7.99,801,3.52,33.9,Safe (No Skin Risk),0
6.72,826,17.59,22.9,Bacterial / Fungal Infection Risk,0
10.06,204,11.21,33.1,Eczema / Skin Barrier Damage,0
9.63,1038,17.41,34.0,Eczema / Skin Barrier Damage,0
4.29,559,7.49,25.0,Acidic Irritant Contact Dermatitis,0
4.17,556,12.33,15.5,Acidic Irritant Contact Dermatitis,0
6.45,696,10.52,34.0,Pseudomonas Folliculitis (Hot Tub Rash),0
9.27,652,6.45,15.6,Eczema / Skin Barrier Damage,0
10.42,203,9.45,32.0,Eczema / Skin Barrier Damage,0
4.98,103,10.1,19.4,Acidic Irritant Contact Dermatitis,0
7.86,1154,4.1,30.3,Safe (No Skin Risk),0
6.48,1180,6.37,28.6,Safe (No Skin Risk),0
10.3,306,15.85,15.4,Eczema / Skin Barrier Damage,0
9.47,285,18.32,24.8,Eczema / Skin Barrier Damage,0
9.45,434,7.26,31.2,Eczema / Skin Barrier Damage,0
7.05,515,6.21,37.9,Safe (No Skin Risk),0
6.7,1016,3.98,39.0,Safe (No Skin Risk),0
5.78,1083,13.6,28.1,Bacterial / Fungal Infection Risk,0
4.37,597,6.53,34.7,Acidic Irritant Contact Dermatitis,0
9.62,1057,19.76,23.5,Eczema / Skin Barrier Damage,0
9.28,922,6.58,24.2,Eczema / Skin Barrier Damage,0
10.5,186,7.94,20.3,Eczema / Skin Barrier Damage,0
10.48,705,12.11,30.2,Eczema / Skin Barrier Damage,0
7.61,659,16.05,23.5,Bacterial / Fungal Infection Risk,0
9.0,859,9.44,17.3,Eczema / Skin Barrier Damage,0
10.14,903,8.51,33.5,Eczema / Skin Barrier Damage,0
9.52,621,19.91,34.1,Eczema / Skin Barrier Damage,0
5.61,1062,0.31,24.7,Safe (No Skin Risk),0
6.93,734,17.91,17.1,Bacterial / Fungal Infection Risk,0
4.84,1165,3.07,26.5,Acidic Irritant Contact Dermatitis,0
10.2,446,15.74,26.9,Eczema / Skin Barrier Damage,0
7.94,438,12.4,33.1,Pseudomonas Folliculitis (Hot Tub Rash),0
5.49,754,6.9,23.5,Acidic Irritant Contact Dermatitis,0
8.37,743,17.49,33.4,Severe Xerosis (Dry Skin Risk),0
8.02,800,0.36,38.5,Severe Xerosis (Dry Skin Risk),0
6.33,538,4.61,21.4,Safe (No Skin Risk),0
4.74,1013,11.38,41.4,Acidic Irritant Contact Dermatitis,0
8.37,121,7.1,25.4,Safe (No Skin Risk),0
7.38,643,12.25,22.2,Bacterial / Fungal Infection Risk,0
9.02,811,0.58,26.4,Eczema / Skin Barrier Damage,0
7.38,942,2.42,17.5,Safe (No Skin Risk),0
9.54,404,2.63,18.4,Eczema / Skin Barrier Damage,0
7.59,202,3.87,26.2,Safe (No Skin Risk),1
7.65,1111,9.24,35.6,Safe (No Skin Risk),0
9.7,550,15.07,39.3,Eczema / Skin Barrier Damage,0
6.62,155,18.12,33.0,Pseudomonas Folliculitis (Hot Tub Rash),0
4.87,980,16.72,17.8,Acidic Irritant Contact Dermatitis,0
4.19,376,4.02,33.1,Acidic Irritant Contact Dermatitis,0
8.91,920,8.88,32.2,Eczema / Skin Barrier Damage,0
8.03,776,4.07,36.8,Severe Xerosis (Dry Skin Risk),0
8.58,879,5.36,37.3,Eczema / Skin Barrier Damage,0
5.38,186,10.12,38.4,Acidic Irritant Contact Dermatitis,0
4.89,482,1.46,26.2,Acidic Irritant Contact Dermatitis,0
4.09,876,4.44,33.8,Acidic Irritant Contact Dermatitis,0
6.28,1076,18.71,22.2,Bacterial / Fungal Infection Risk,0
7.83,982,9.38,42.0,Safe (No Skin Risk),0
6.55,326,8.96,19.7,Safe (No Skin Risk),0
6.84,759,0.39,15.3,Safe (No Skin Risk),0
9.88,1177,5.02,19.0,Eczema / Skin Barrier Damage,0
6.26,519,17.34,35.9,Pseudomonas Folliculitis (Hot Tub Rash),0
7.34,61,3.38,27.1,Safe (No Skin Risk),1
9.09,722,8.36,27.1,Eczema / Skin Barrier Damage,0
6.58,945,0.39,40.8,Safe (No Skin Risk),0
8.04,359,9.62,39.8,Safe (No Skin Risk),0
9.61,165,0.52,23.4,Eczema / Skin Barrier Damage,0
10.17,316,16.41,20.6,Eczema / Skin Barrier Damage,0
4.96,233,16.51,37.9,Acidic Irritant Contact Dermatitis,0
10.02,735,15.78,39.5,Eczema / Skin Barrier Damage,0
7.2,96,5.74,29.6,Safe (No Skin Risk),0
5.68,58,16.76,32.0,Bacterial / Fungal Infection Risk,0
6.98,303,10.91,21.9,Bacterial / Fungal Infection Risk,0
10.37,833,7.54,36.6,Eczema / Skin Barrier Damage,0
7.2,152,12.54,32.1,Pseudomonas Folliculitis (Hot Tub Rash),0
6.14,581,0.35,28.6,Safe (No Skin Risk),0
8.12,686,2.94,16.6,Severe Xerosis (Dry Skin Risk),0
5.56,618,14.87,39.7,Pseudomonas Folliculitis (Hot Tub Rash),0
4.49,1128,4.96,31.6,Acidic Irritant Contact Dermatitis,0
4.84,64,12.0,20.2,Acidic Irritant Contact Dermatitis,0
4.83,40,7.76,31.4,Acidic Irritant Contact Dermatitis,0
4.99,950,17.11,33.3,Acidic Irritant Contact Dermatitis,0
4.9,180,19.05,29.2,Acidic Irritant Contact Dermatitis,0
8.17,687,17.68,34.4,Severe Xerosis (Dry Skin Risk),0
5.18,227,5.49,30.7,Acidic Irritant Contact Dermatitis,0
6.25,1191,3.96,40.6,Safe (No Skin Risk),0
9.83,240,9.54,16.4,Eczema / Skin Barrier Damage,0
7.08,1190,0.25,17.9,Safe (No Skin Risk),0
8.34,296,0.61,19.7,Safe (No Skin Risk),1
5.12,586,11.11,33.6,Acidic Irritant Contact Dermatitis,0
5.25,233,10.46,32.4,Acidic Irritant Contact Dermatitis,0
4.27,742,19.89,39.1,Acidic Irritant Contact Dermatitis,0
5.1,1167,4.12,34.8,Acidic Irritant Contact Dermatitis,0
5.81,841,5.24,28.7,Safe (No Skin Risk),0
5.15,981,2.36,41.8,Acidic Irritant Contact Dermatitis,0
4.58,453,18.36,22.2,Acidic Irritant Contact Dermatitis,0
4.78,1138,15.58,37.5,Acidic Irritant Contact Dermatitis,0
7.0,949,16.46,26.5,Bacterial / Fungal Infection Risk,0
5.34,227,18.06,32.5,Acidic Irritant Contact Dermatitis,0
6.37,84,10.55,34.6,Pseudomonas Folliculitis (Hot Tub Rash),0
7.27,122,9.08,32.1,Safe (No Skin Risk),0
8.49,1186,6.67,18.8,Severe Xerosis (Dry Skin Risk),0
4.26,397,11.83,27.0,Acidic Irritant Contact Dermatitis,0
9.2,1129,9.14,30.2,Eczema / Skin Barrier Damage,0
8.08,975,9.09,37.9,Severe Xerosis (Dry Skin Risk),0
4.53,414,18.74,27.0,Acidic Irritant Contact Dermatitis,0
9.68,201,19.68,39.8,Eczema / Skin Barrier Damage,0
9.99,361,15.95,26.9,Eczema / Skin Barrier Damage,0
4.4,489,15.16,29.8,Acidic Irritant Contact Dermatitis,0
5.8,1076,13.64,36.5,Pseudomonas Folliculitis (Hot Tub Rash),0
9.24,223,3.4,30.7,Eczema / Skin Barrier Damage,0
8.86,150,1.28,40.9,Eczema / Skin Barrier Damage,0
5.2,547,13.85,32.8,Acidic Irritant Contact Dermatitis,0
5.36,334,14.6,29.1,Acidic Irritant Contact Dermatitis,0
6.41,943,1.03,15.6,Safe (No Skin Risk),0
7.15,1013,18.57,26.2,Bacterial / Fungal Infection Risk,0
8.02,671,1.91,23.1,Severe Xerosis (Dry Skin Risk),0
6.4,1090,5.79,35.2,Safe (No Skin Risk),0
7.01,772,13.48,20.6,Bacterial / Fungal Infection Risk,0
8.86,360,3.48,20.5,Eczema / Skin Barrier Damage,0
4.24,952,1.2,20.1,Acidic Irritant Contact Dermatitis,0
5.64,476,6.69,18.4,Safe (No Skin Risk),0
8.64,820,15.34,23.4,Eczema / Skin Barrier Damage,0
9.82,1116,8.33,38.9,Eczema / Skin Barrier Damage,0
7.33,765,13.09,35.9,Pseudomonas Folliculitis (Hot Tub Rash),0
7.46,70,11.63,34.9,Pseudomonas Folliculitis (Hot Tub Rash),0
4.7,376,0.54,36.5,Acidic Irritant Contact Dermatitis,0
6.91,222,19.77,22.3,Bacterial / Fungal Infection Risk,0
7.46,1086,0.92,39.0,Safe (No Skin Risk),0
5.58,583,19.36,18.7,Bacterial / Fungal Infection Risk,0
5.75,1137,11.04,24.1,Bacterial / Fungal Infection Risk,0
6.45,1073,19.27,30.8,Bacterial / Fungal Infection Risk,0
4.13,699,2.38,17.8,Acidic Irritant Contact Dermatitis,0
6.09,199,9.86,34.7,Safe (No Skin Risk),0
5.37,1077,3.47,25.5,Acidic Irritant Contact Dermatitis,0
6.13,451,1.11,36.2,Safe (No Skin Risk),0
4.78,1051,12.39,28.3,Acidic Irritant Contact Dermatitis,0
9.79,92,4.23,19.9,Eczema / Skin Barrier Damage,0
7.86,447,11.8,34.8,Pseudomonas Folliculitis (Hot Tub Rash),0
8.41,886,2.34,21.8,Severe Xerosis (Dry Skin Risk),0
9.13,1085,6.71,28.3,Eczema / Skin Barrier Damage,0
7.24,1093,15.65,17.0,Bacterial / Fungal Infection Risk,0
4.56,742,8.8,31.7,Acidic Irritant Contact Dermatitis,0
7.49,299,12.59,33.0,Pseudomonas Folliculitis (Hot Tub Rash),0
7.81,1122,12.98,25.2,Bacterial / Fungal Infection Risk,0
8.85,815,16.89,40.8,Eczema / Skin Barrier Damage,0
6.81,1075,6.57,38.6,Safe (No Skin Risk),0
4.83,889,13.78,34.1,Acidic Irritant Contact Dermatitis,0
5.84,393,19.24,34.3,Pseudomonas Folliculitis (Hot Tub Rash),0
6.36,1138,14.63,21.8,Bacterial / Fungal Infection Risk,0
8.2,912,9.85,32.7,Severe Xerosis (Dry Skin Risk),0
7.71,1030,12.65,20.4,Bacterial / Fungal Infection Risk,0
6.31,1057,14.82,18.9,Bacterial / Fungal Infection Risk,0
10.41,1159,12.28,42.0,Eczema / Skin Barrier Damage,0
7.94,333,0.43,31.8,Safe (No Skin Risk),1
5.54,248,3.98,26.6,Safe (No Skin Risk),0
4.66,1151,16.23,22.8,Acidic Irritant Contact Dermatitis,0
4.99,857,5.53,31.3,Acidic Irritant Contact Dermatitis,0
5.6,429,14.66,16.3,Bacterial / Fungal Infection Risk,0
5.04,364,7.51,17.6,Acidic Irritant Contact Dermatitis,0
5.21,979,10.49,15.9,Acidic Irritant Contact Dermatitis,0
5.85,928,1.45,28.5,Safe (No Skin Risk),0
5.13,707,3.71,31.2,Acidic Irritant Contact Dermatitis,0
9.83,672,19.15,16.7,Eczema / Skin Barrier Damage,0
4.52,616,17.81,34.5,Acidic Irritant Contact Dermatitis,0
7.41,176,13.08,21.2,Bacterial / Fungal Infection Risk,0
6.67,467,9.25,33.5,Safe (No Skin Risk),0
10.39,651,13.55,41.5,Eczema / Skin Barrier Damage,0
4.73,950,12.41,33.7,Acidic Irritant Contact Dermatitis,0
6.59,858,11.41,38.8,Pseudomonas Folliculitis (Hot Tub Rash),0
10.3,180,1.28,40.6,Eczema / Skin Barrier Damage,0
9.63,1146,12.69,28.1,Eczema / Skin Barrier Damage,0
9.31,216,15.4,34.0,Eczema / Skin Barrier Damage,0
5.68,237,19.88,38.0,Pseudomonas Folliculitis (Hot Tub Rash),0
5.11,663,0.32,24.6,Acidic Irritant Contact Dermatitis,0
8.35,730,14.63,22.1,Severe Xerosis (Dry Skin Risk),0
10.04,440,11.48,40.6,Eczema / Skin Barrier Damage,0
7.62,510,8.74,34.6,Safe (No Skin Risk),0
7.72,257,2.64,20.9,Safe (No Skin Risk),1
5.82,968,8.24,27.1,Safe (No Skin Risk),0
9.0,671,7.15,36.5,Eczema / Skin Barrier Damage,0
5.22,990,6.13,29.8,Acidic Irritant Contact Dermatitis,0
6.1,945,14.64,32.5,Pseudomonas Folliculitis (Hot Tub Rash),0
6.77,214,14.04,35.4,Pseudomonas Folliculitis (Hot Tub Rash),0
7.3,62,11.82,31.8,Bacterial / Fungal Infection Risk,0
5.58,274,18.78,29.6,Bacterial / Fungal Infection Risk,0
4.75,1076,7.06,35.2,Acidic Irritant Contact Dermatitis,0
7.97,1164,4.95,34.6,Safe (No Skin Risk),0
5.88,968,13.15,32.0,Bacterial / Fungal Infection Risk,0
7.78,562,4.06,24.7,Safe (No Skin Risk),0
5.0,470,6.37,26.0,Acidic Irritant Contact Dermatitis,0
7.13,832,4.57,41.2,Safe (No Skin Risk),0
7.46,572,1.48,18.0,Safe (No Skin Risk),0
4.34,1018,16.57,22.2,Acidic Irritant Contact Dermatitis,0
6.19,849,5.17,28.3,Safe (No Skin Risk),0
4.87,952,9.51,37.6,Acidic Irritant Contact Dermatitis,0
4.41,1164,0.96,19.4,Acidic Irritant Contact Dermatitis,0
10.43,910,14.02,22.5,Eczema / Skin Barrier Damage,0
6.1,579,6.68,16.8,Safe (No Skin Risk),0
9.26,1063,14.92,34.1,Eczema / Skin Barrier Damage,0
5.66,266,8.31,21.4,Safe (No Skin Risk),0
8.43,912,4.0,25.5,Severe Xerosis (Dry Skin Risk),0
8.94,931,10.31,27.0,Eczema / Skin Barrier Damage,0
7.87,1076,2.7,39.1,Safe (No Skin Risk),0
7.07,249,8.87,26.1,Safe (No Skin Risk),0
6.68,780,6.41,18.9,Safe (No Skin Risk),0
6.27,436,18.25,29.2,Bacterial / Fungal Infection Risk,0
10.04,1163,1.31,41.0,Eczema / Skin Barrier Damage,0
9.4,70,13.91,31.4,Eczema / Skin Barrier Damage,0
10.27,937,3.74,41.6,Eczema / Skin Barrier Damage,0
4.81,688,6.45,37.7,Acidic Irritant Contact Dermatitis,0
8.75,368,8.37,16.0,Eczema / Skin Barrier Damage,0
10.1,991,18.17,32.8,Eczema / Skin Barrier Damage,0
5.18,1163,4.93,22.7,Acidic Irritant Contact Dermatitis,0
4.43,660,1.92,30.1,Acidic Irritant Contact Dermatitis,0
8.82,201,6.44,22.5,Eczema / Skin Barrier Damage,0
7.73,815,2.18,24.4,Safe (No Skin Risk),0
9.47,313,2.66,39.9,Eczema / Skin Barrier Damage,0
4.91,1066,11.52,20.6,Acidic Irritant Contact Dermatitis,0
9.17,1091,1.31,38.6,Eczema / Skin Barrier Damage,0
5.31,365,0.72,15.8,Acidic Irritant Contact Dermatitis,0
5.06,979,14.32,17.5,Acidic Irritant Contact Dermatitis,0
5.07,579,7.3,38.1,Acidic Irritant Contact Dermatitis,0
9.29,527,2.59,32.0,Eczema / Skin Barrier Damage,0
8.32,861,5.15,35.2,Severe Xerosis (Dry Skin Risk),0
7.4,1128,12.88,20.7,Bacterial / Fungal Infection Risk,0
6.33,395,5.58,29.5,Safe (No Skin Risk),0
9.7,274,9.94,34.9,Eczema / Skin Barrier Damage,0
6.55,266,2.52,31.9,Safe (No Skin Risk),1
9.31,88,11.8,27.7,Eczema / Skin Barrier Damage,0
6.85,157,6.39,40.9,Safe (No Skin Risk),0
6.45,93,12.58,33.3,Pseudomonas Folliculitis (Hot Tub Rash),0
7.01,604,16.19,39.5,Pseudomonas Folliculitis (Hot Tub Rash),0
5.96,1107,12.27,34.7,Pseudomonas Folliculitis (Hot Tub Rash),0
8.86,92,5.99,34.9,Eczema / Skin Barrier Damage,0
7.27,597,5.19,17.2,Safe (No Skin Risk),0
5.51,1165,6.62,24.7,Safe (No Skin Risk),0
9.85,907,3.38,38.2,Eczema / Skin Barrier Damage,0
6.5,437,3.71,21.3,Safe (No Skin Risk),1
7.53,714,15.83,18.1,Bacterial / Fungal Infection Risk,0
9.89,426,7.76,23.8,Eczema / Skin Barrier Damage,0
8.06,150,8.78,21.0,Safe (No Skin Risk),0
4.76,653,11.92,40.0,Acidic Irritant Contact Dermatitis,0
10.11,56,11.83,38.4,Eczema / Skin Barrier Damage,0
8.08,923,1.44,28.5,Severe Xerosis (Dry Skin Risk),0
6.18,580,16.65,16.7,Bacterial / Fungal Infection Risk,0
4.91,210,3.63,34.3,Acidic Irritant Contact Dermatitis,0
9.16,448,14.49,31.8,Eczema / Skin Barrier Damage,0
8.03,779,15.48,41.2,Severe Xerosis (Dry Skin Risk),0
7.47,897,14.33,30.1,Bacterial / Fungal Infection Risk,0
9.81,269,11.62,24.1,Eczema / Skin Barrier Damage,0
9.13,158,0.39,29.0,Eczema / Skin Barrier Damage,0
4.99,823,7.27,41.4,Acidic Irritant Contact Dermatitis,0
6.03,504,12.14,33.8,Pseudomonas Folliculitis (Hot Tub Rash),0
5.62,143,7.81,33.1,Safe (No Skin Risk),0
8.84,737,17.28,21.5,Eczema / Skin Barrier Damage,0
4.22,214,6.25,35.1,Acidic Irritant Contact Dermatitis,0
7.7,784,5.94,35.3,Safe (No Skin Risk),0
8.96,1197,5.39,23.6,Eczema / Skin Barrier Damage,0
9.7,704,6.72,28.1,Eczema / Skin Barrier Damage,0
6.22,72,11.19,23.0,Bacterial / Fungal Infection Risk,0
9.34,94,14.17,22.0,Eczema / Skin Barrier Damage,0
4.72,558,13.29,15.7,Acidic Irritant Contact Dermatitis,0
9.5,795,16.17,22.7,Eczema / Skin Barrier Damage,0
4.83,51,17.73,30.0,Acidic Irritant Contact Dermatitis,0
6.58,759,16.34,15.0,Bacterial / Fungal Infection Risk,0
9.18,594,0.48,22.6,Eczema / Skin Barrier Damage,0
4.97,412,14.74,38.8,Acidic Irritant Contact Dermatitis,0
5.49,523,4.25,31.0,Acidic Irritant Contact Dermatitis,0
8.69,1012,2.75,31.4,Eczema / Skin Barrier Damage,0
8.68,662,12.81,25.9,Eczema / Skin Barrier Damage,0
8.17,346,6.46,33.3,Safe (No Skin Risk),0
8.51,496,1.24,20.1,Eczema / Skin Barrier Damage,0
7.53,199,2.84,37.1,Safe (No Skin Risk),1
5.64,370,0.12,18.2,Safe (No Skin Risk),0
6.25,815,18.07,32.7,Pseudomonas Folliculitis (Hot Tub Rash),0
5.18,264,0.59,24.2,Acidic Irritant Contact Dermatitis,0
9.9,1022,4.27,35.2,Eczema / Skin Barrier Damage,0
7.79,768,8.38,29.8,Safe (No Skin Risk),0
6.61,1108,7.2,27.2,Safe (No Skin Risk),0
7.0,1122,18.24,19.6,Bacterial / Fungal Infection Risk,0
10.16,683,0.9,32.2,Eczema / Skin Barrier Damage,0
5.0,655,10.29,41.3,Acidic Irritant Contact Dermatitis,0
7.81,234,13.64,37.3,Pseudomonas Folliculitis (Hot Tub Rash),0
7.29,528,18.64,16.6,Bacterial / Fungal Infection Risk,0
7.97,196,12.45,25.2,Bacterial / Fungal Infection Risk,0
4.12,649,16.09,40.0,Acidic Irritant Contact Dermatitis,0
9.67,451,1.77,28.6,Eczema / Skin Barrier Damage,0
10.06,1142,7.78,32.9,Eczema / Skin Barrier Damage,0
7.67,1187,7.54,39.6,Safe (No Skin Risk),0
8.53,510,17.74,38.6,Eczema / Skin Barrier Damage,0
10.0,555,3.11,28.5,Eczema / Skin Barrier Damage,0
8.6,1167,3.12,26.8,Eczema / Skin Barrier Damage,0
4.99,432,6.64,24.2,Acidic Irritant Contact Dermatitis,0
7.75,670,1.18,34.4,Safe (No Skin Risk),0
7.94,647,3.73,22.7,Safe (No Skin Risk),0
6.76,1019,19.31,21.7,Bacterial / Fungal Infection Risk,0
8.79,473,8.62,24.6,Eczema / Skin Barrier Damage,0
10.07,579,12.68,19.8,Eczema / Skin Barrier Damage,0
10.02,317,14.55,33.8,Eczema / Skin Barrier Damage,0
6.93,272,7.4,31.6,Safe (No Skin Risk),0
4.74,1153,3.03,28.0,Acidic Irritant Contact Dermatitis,0
10.4,401,4.21,25.5,Eczema / Skin Barrier Damage,0
9.45,65,6.33,39.5,Eczema / Skin Barrier Damage,0
4.81,1088,12.76,15.8,Acidic Irritant Contact Dermatitis,0
9.99,546,8.03,35.8,Eczema / Skin Barrier Damage,0
9.65,306,0.24,39.4,Eczema / Skin Barrier Damage,0
7.37,500,10.52,27.1,Bacterial / Fungal Infection Risk,0
7.84,495,18.44,29.9,Bacterial / Fungal Infection Risk,0
6.59,1131,16.26,40.5,Pseudomonas Folliculitis (Hot Tub Rash),0
4.36,1046,16.52,20.7,Acidic Irritant Contact Dermatitis,0
6.18,902,15.92,29.0,Bacterial / Fungal Infection Risk,0
9.22,530,6.54,27.8,Eczema / Skin Barrier Damage,0
4.03,1112,15.33,22.0,Acidic Irritant Contact Dermatitis,0
6.17,603,2.95,37.1,Safe (No Skin Risk),0
6.59,1165,13.19,39.3,Pseudomonas Folliculitis (Hot Tub Rash),0
7.49,255,12.87,36.1,Pseudomonas Folliculitis (Hot Tub Rash),0
9.98,598,0.61,20.3,Eczema / Skin Barrier Damage,0
6.25,198,15.78,17.3,Bacterial / Fungal Infection Risk,0
6.26,528,18.07,31.3,Bacterial / Fungal Infection Risk,0
8.79,725,5.42,16.5,Eczema / Skin Barrier Damage,0
6.94,833,16.27,33.2,Pseudomonas Folliculitis (Hot Tub Rash),0
5.46,44,1.74,29.3,Acidic Irritant Contact Dermatitis,0
6.94,400,12.04,32.9,Pseudomonas Folliculitis (Hot Tub Rash),0
4.92,498,9.76,30.9,Acidic Irritant Contact Dermatitis,0
5.15,287,10.96,26.4,Acidic Irritant Contact Dermatitis,0
7.24,985,18.53,20.4,Bacterial / Fungal Infection Risk,0
6.72,461,17.44,23.3,Bacterial / Fungal Infection Risk,0
9.95,54,15.72,29.2,Eczema / Skin Barrier Damage,0
6.36,775,5.55,32.6,Safe (No Skin Risk),0
7.77,1185,18.25,36.0,Pseudomonas Folliculitis (Hot Tub Rash),0
8.11,316,2.04,35.7,Safe (No Skin Risk),1
4.09,492,17.08,41.3,Acidic Irritant Contact Dermatitis,0
8.31,637,6.63,22.7,Severe Xerosis (Dry Skin Risk),0
5.16,485,1.17,16.9,Acidic Irritant Contact Dermatitis,0
10.25,249,13.42,24.3,Eczema / Skin Barrier Damage,0
4.97,753,4.7,35.1,Acidic Irritant Contact Dermatitis,0
6.7,341,4.95,26.8,Safe (No Skin Risk),1
4.55,42,6.19,37.1,Acidic Irritant Contact Dermatitis,0
10.48,1029,1.37,29.8,Eczema / Skin Barrier Damage,0
7.26,1156,3.62,40.1,Safe (No Skin Risk),0
7.87,559,0.2,40.6,Safe (No Skin Risk),0
4.44,532,8.96,16.9,Acidic Irritant Contact Dermatitis,0
8.87,659,1.78,27.3,Eczema / Skin Barrier Damage,0
5.36,370,13.68,31.5,Acidic Irritant Contact Dermatitis,0
